time,frequency,confidence
2.450,134.980,0.687615
2.460,135.229,0.851058
2.470,270.936,0.650281
2.480,270.894,0.670654
2.490,272.256,0.545854
2.500,271.315,0.531099
2.510,270.569,0.492457
2.520,267.833,0.730809
2.530,268.696,0.834703
2.540,269.935,0.822919
2.550,268.933,0.486826
2.560,302.095,0.334206
2.570,323.680,0.567817
2.580,326.958,0.646838
2.590,329.835,0.798011
2.600,333.704,0.884301
2.610,334.999,0.916919
2.620,336.205,0.899313
2.630,336.906,0.920813
2.640,338.456,0.915344
2.650,338.818,0.874144
2.660,339.254,0.882055
2.670,339.719,0.879849
2.680,339.920,0.852317
2.690,340.099,0.822247
2.700,337.412,0.836006
2.710,336.944,0.790917
2.720,336.393,0.769585
2.730,335.573,0.535575
2.740,336.615,0.735906
2.750,337.217,0.550448
2.760,337.604,0.755671
2.770,227.145,0.429863
2.780,226.621,0.572012
2.790,338.496,0.663092
2.800,336.616,0.643175
2.810,336.914,0.787310
2.820,335.969,0.833221
2.830,336.634,0.885363
2.840,336.382,0.876428
2.850,337.112,0.850564
2.860,337.380,0.838534
2.870,337.098,0.801631
2.880,337.255,0.814523
2.890,337.106,0.845655
2.900,336.454,0.847215
2.910,336.345,0.863604
2.920,336.133,0.888065
2.930,336.113,0.875371
2.940,336.746,0.824830
2.950,336.414,0.869749
2.960,337.192,0.861183
2.970,337.556,0.794077
2.980,338.142,0.793725
2.990,338.697,0.825489
3.000,337.676,0.773759
3.010,337.583,0.884789
3.020,337.032,0.868843
3.030,336.787,0.837725
3.040,337.411,0.877964
3.050,338.647,0.883511
3.060,338.425,0.819638
3.070,339.809,0.840225
3.080,338.294,0.832873
3.090,338.190,0.820318
3.100,338.607,0.820031
3.110,337.764,0.806362
3.120,336.892,0.808970
3.130,336.111,0.799142
3.140,337.447,0.695926
3.150,338.068,0.668648
3.160,339.959,0.519237
3.170,340.076,0.557782
3.180,271.085,0.567895
3.190,337.303,0.673054
3.200,336.969,0.628576
3.210,336.606,0.673324
3.220,336.709,0.721079
3.230,336.346,0.655778
3.240,336.733,0.681993
3.250,336.525,0.635991
3.260,337.857,0.754419
3.270,337.358,0.598088
3.280,337.005,0.734664
3.290,335.185,0.780904
3.300,333.335,0.543226
3.310,333.012,0.678710
3.320,331.376,0.651369
3.330,270.970,0.766375
3.340,269.632,0.629083
3.350,269.174,0.628096
3.360,332.033,0.626574
3.370,332.697,0.664133
3.380,334.861,0.710369
3.390,337.772,0.476786
3.400,339.305,0.693534
3.410,339.384,0.861257
3.420,339.345,0.834197
3.430,338.417,0.827416
3.440,337.473,0.826143
3.450,336.707,0.854972
3.460,336.766,0.768508
3.470,337.529,0.768494
3.480,338.440,0.640601
3.490,270.553,0.583600
3.500,271.433,0.592203
3.510,273.035,0.594470
3.520,338.230,0.643413
3.530,336.932,0.789052
3.540,337.109,0.889387
3.550,337.875,0.892817
3.560,337.398,0.853185
3.570,337.551,0.807650
3.580,336.711,0.718796
3.590,335.363,0.671470
3.600,226.754,0.562077
3.610,227.029,0.584033
3.620,226.202,0.842587
3.630,226.640,0.783198
3.640,227.186,0.774318
3.650,226.740,0.618620
3.660,226.495,0.525380
3.670,229.340,0.539550
3.680,227.732,0.460024
3.690,226.887,0.468115
3.700,336.166,0.518858
3.710,337.959,0.491162
3.720,269.750,0.407699
3.730,340.314,0.534010
3.740,337.266,0.345236
3.750,338.088,0.632798
3.760,336.447,0.659923
3.770,336.260,0.835451
3.780,336.259,0.872893
3.790,336.312,0.871273
3.800,336.210,0.910150
3.810,335.848,0.854878
3.820,335.738,0.831220
3.830,335.821,0.874400
3.840,336.946,0.848194
3.850,337.315,0.853049
3.860,339.090,0.855330
3.870,338.784,0.890452
3.880,338.407,0.877261
3.890,337.347,0.923173
3.900,335.760,0.918075
