time,frequency,confidence
2.450,267.134,0.815532
2.460,270.368,0.872784
2.470,273.679,0.874528
2.480,276.075,0.885718
2.490,276.977,0.871066
2.500,275.915,0.871612
2.510,276.740,0.794276
2.520,278.729,0.748676
2.530,282.966,0.606063
2.540,287.111,0.654089
2.550,286.853,0.707066
2.560,287.304,0.665977
2.570,289.225,0.636058
2.580,291.193,0.626809
2.590,291.846,0.702301
2.600,291.254,0.682541
2.610,290.719,0.793443
2.620,289.719,0.693974
2.630,289.014,0.613139
2.640,288.708,0.755977
2.650,288.908,0.752664
2.660,290.525,0.805792
2.670,290.480,0.761032
2.680,291.229,0.821426
2.690,291.027,0.811876
2.700,291.170,0.820222
2.710,292.278,0.769450
2.720,294.171,0.755948
2.730,295.352,0.681956
2.740,295.619,0.769640
2.750,294.872,0.809413
2.760,294.186,0.783378
2.770,293.929,0.799591
2.780,293.583,0.791561
2.790,293.040,0.780449
2.800,292.564,0.752119
2.810,292.149,0.835920
2.820,292.132,0.828834
2.830,293.484,0.817630
2.840,293.367,0.821380
2.850,293.432,0.838526
2.860,294.289,0.861336
2.870,294.495,0.854764
2.880,293.542,0.837264
2.890,292.838,0.803076
2.900,292.021,0.809521
2.910,292.449,0.783370
2.920,292.834,0.807126
2.930,292.271,0.814596
2.940,292.044,0.830909
2.950,291.446,0.814802
2.960,291.561,0.853554
2.970,291.393,0.840204
2.980,291.360,0.850523
2.990,291.714,0.868890
3.000,291.653,0.843505
3.010,291.979,0.794118
3.020,292.021,0.765841
3.030,292.137,0.766278
3.040,290.906,0.738767
3.050,289.486,0.765009
3.060,289.455,0.708904
3.070,290.982,0.713454
3.080,292.110,0.687657
3.090,293.150,0.682898
3.100,294.083,0.681864
3.110,295.121,0.601588
3.120,296.350,0.690554
3.130,296.874,0.684140
3.140,296.544,0.734123
3.150,295.676,0.759444
3.160,294.786,0.824996
3.170,293.731,0.862058
3.180,293.165,0.798671
3.190,291.607,0.813169
3.200,290.405,0.786784
3.210,290.750,0.774723
3.220,291.775,0.820382
3.230,291.764,0.836895
3.240,291.374,0.773113
3.250,291.863,0.741593
3.260,292.153,0.712711
3.270,291.714,0.681221
3.280,292.016,0.591222
3.290,292.166,0.566508
3.300,293.079,0.584692
3.310,292.857,0.679089
3.320,293.032,0.718752
3.330,294.173,0.666788
3.340,294.920,0.673337
3.350,295.115,0.738109
3.360,295.133,0.712269
3.370,295.165,0.771163
3.380,294.418,0.765154
3.390,293.500,0.717194
3.400,293.235,0.761894
3.410,293.394,0.740553
3.420,293.892,0.779396
3.430,293.657,0.771950
3.440,293.683,0.797679
3.450,294.037,0.735478
3.460,294.067,0.748718
3.470,291.991,0.761193
3.480,290.166,0.800804
3.490,289.850,0.788421
3.500,289.925,0.758513
3.510,290.606,0.731407
3.520,290.953,0.656428
3.530,291.934,0.684924
3.540,292.192,0.641199
3.550,292.118,0.689575
3.560,292.556,0.597750
3.570,292.427,0.516893
3.580,292.107,0.383942
3.590,292.905,0.255877
3.600,1310.472,0.243616
3.610,1326.257,0.344644
3.620,297.795,0.429805
3.630,296.284,0.444349
3.640,295.105,0.618929
3.650,294.940,0.710325
3.660,295.051,0.749531
3.670,294.735,0.797369
3.680,294.760,0.801449
3.690,294.313,0.851872
3.700,295.017,0.841388
3.710,294.664,0.860591
3.720,294.469,0.847489
3.730,295.178,0.876553
3.740,295.853,0.878555
3.750,295.841,0.899057
3.760,296.294,0.843956
3.770,296.889,0.769082
3.780,298.083,0.560357
3.790,299.672,0.531222
3.800,301.053,0.474433
3.810,299.440,0.528729
3.820,300.001,0.436684
3.830,297.366,0.360586
3.840,1478.270,0.387950
3.850,295.971,0.458047
3.860,1480.635,0.501927
3.870,295.458,0.473025
3.880,1482.432,0.617252
3.890,1481.448,0.451478
3.900,1488.833,0.520719
3.910,1497.946,0.334549
3.920,1532.566,0.199888
3.930,1572.341,0.225986
3.940,1596.472,0.249199
3.950,1692.560,0.434429
3.960,291.543,0.524420
3.970,293.105,0.579017
3.980,292.217,0.685489
3.990,293.854,0.720657
4.000,292.690,0.721289
4.010,291.743,0.777342
4.020,291.454,0.746113
4.030,292.291,0.756341
4.040,293.302,0.722638
4.050,291.498,0.722775
4.060,290.417,0.676198
4.070,287.812,0.652196
4.080,289.942,0.563124
4.090,292.882,0.504753
4.100,1311.592,0.556416
4.110,1316.316,0.672361
4.120,1317.928,0.816575
4.130,1317.112,0.815438
4.140,1315.084,0.743223
4.150,1309.961,0.818600
4.160,1309.396,0.809506
4.170,1310.391,0.782085
4.180,1311.120,0.738342
4.190,1314.474,0.730923
4.200,1315.932,0.717310
4.210,1315.792,0.707604
4.220,1310.533,0.749031
4.230,1314.270,0.721070
4.240,1316.632,0.754198
4.250,1313.896,0.716660
4.260,1311.700,0.770526
4.270,1310.968,0.711430
4.280,1310.936,0.821856
4.290,1311.425,0.729454
4.300,1311.069,0.719556
4.310,1314.074,0.805254
4.320,1315.762,0.610252
4.330,1312.324,0.762523
4.340,1312.326,0.722135
4.350,1310.903,0.731533
4.360,1312.213,0.760568
4.370,1311.868,0.589950
4.380,1310.133,0.651273
4.390,1313.170,0.510987
4.400,1316.966,0.575600
4.410,1319.518,0.597523
4.420,1322.389,0.603845
4.430,1324.815,0.619844
4.440,1324.741,0.584726
4.450,296.618,0.497367
4.460,1323.144,0.525788
4.470,295.877,0.446941
4.480,296.576,0.429958
4.490,296.371,0.410425
4.500,1317.850,0.512057
4.510,1316.233,0.421713
4.520,1315.566,0.572850
4.530,1312.981,0.624812
4.540,1312.359,0.477975
4.550,1312.033,0.567354
4.560,1310.390,0.672274
4.570,1311.298,0.689596
4.580,1311.856,0.740411
4.590,1312.843,0.746402
4.600,1317.917,0.728395
4.610,1319.559,0.787245
4.620,1321.044,0.744932
4.630,1322.707,0.797140
4.640,1322.449,0.842672
4.650,1321.890,0.788145
4.660,1322.541,0.814125
4.670,1319.815,0.759222
4.680,1320.501,0.789677
4.690,1319.605,0.796401
4.700,1317.163,0.781391
4.710,1316.344,0.685764
4.720,1310.089,0.670043
4.730,1307.438,0.641947
4.740,1306.180,0.524039
4.750,1305.106,0.494924
4.760,291.028,0.422744
4.770,1308.255,0.420321
4.780,294.022,0.387171
4.790,294.665,0.339500
4.800,296.072,0.472249
4.810,298.094,0.445927
4.820,300.447,0.315663
4.830,300.044,0.463224
4.840,299.830,0.394792
4.850,298.894,0.427170
4.860,298.211,0.457742
4.870,297.356,0.336731
4.880,1320.872,0.398399
4.890,295.184,0.428967
4.900,1317.153,0.434722
4.910,1315.558,0.493213
4.920,291.732,0.497546
4.930,291.132,0.451724
4.940,1305.630,0.486962
4.950,1303.680,0.514017
4.960,1304.634,0.494195
4.970,1305.534,0.648832
4.980,1306.311,0.780767
4.990,1310.013,0.760297
5.000,1311.999,0.701064
5.010,1316.122,0.440206
5.020,1321.053,0.467327
5.030,1323.275,0.448877
5.040,295.754,0.463722
5.050,297.014,0.513721
5.060,295.495,0.547036
5.070,294.538,0.479930
5.080,293.561,0.426158
5.090,1314.446,0.521727
5.100,1310.779,0.658184
5.110,1307.657,0.672601
5.120,1303.606,0.654632
5.130,1301.107,0.766183
5.140,1302.374,0.720727
5.150,1302.514,0.708387
5.160,1308.976,0.647016
5.170,1315.338,0.716928
5.180,1319.312,0.764993
5.190,1321.930,0.737468
5.200,1322.120,0.769294
5.210,1323.759,0.659640
5.220,1325.399,0.669467
5.230,1323.630,0.649694
5.240,1323.110,0.715002
5.250,1322.149,0.735740
5.260,1317.113,0.484704
5.270,292.580,0.461041
5.280,289.979,0.451163
5.290,289.016,0.409458
5.300,289.533,0.546765
5.310,288.665,0.421561
5.320,1302.311,0.351124
5.330,1304.525,0.314840
5.340,145.711,0.461564
5.350,146.260,0.460696
5.360,1317.607,0.464573
5.370,147.646,0.472455
5.380,148.171,0.493858
5.390,148.212,0.497542
5.400,148.273,0.496495
5.410,1322.928,0.384634
5.420,1322.637,0.586350
5.430,1319.579,0.568525
5.440,1321.560,0.660438
5.450,1320.608,0.603848
5.460,1315.374,0.554534
5.470,1309.947,0.583800
5.480,1306.962,0.425986
5.490,1305.803,0.388298
5.500,1305.489,0.376122
5.510,1305.447,0.401683
5.520,290.753,0.457715
5.530,1305.918,0.565153
5.540,1309.015,0.661241
5.550,1311.377,0.749269
5.560,1312.158,0.736307
5.570,1313.999,0.799856
5.580,1313.061,0.759910
5.590,1316.279,0.769330
5.600,1318.798,0.700087
5.610,1319.228,0.761323
5.620,1318.958,0.806935
5.630,1318.826,0.802893
5.640,1318.125,0.825238
5.650,1316.158,0.781483
5.660,1313.400,0.738723
5.670,1312.466,0.795847
5.680,1314.081,0.736546
5.690,1313.138,0.708951
5.700,1314.043,0.573614
5.710,1317.330,0.471859
5.720,295.124,0.411527
5.730,296.376,0.352166
5.740,1319.918,0.413217
5.750,1319.666,0.351535
5.760,1319.200,0.621554
5.770,1317.519,0.717945
5.780,1318.097,0.722438
5.790,1318.832,0.810851
5.800,1319.278,0.804677
5.810,1317.609,0.734220
5.820,1315.601,0.824278
5.830,1316.119,0.619201
5.840,329.725,0.473493
5.850,330.975,0.406261
5.860,330.221,0.415246
5.870,295.334,0.344910
5.880,294.406,0.377512
5.890,1478.971,0.421725
5.900,1478.321,0.529469
5.910,1480.187,0.364459
5.920,294.307,0.325555
5.930,294.584,0.477677
5.940,294.303,0.608490
5.950,291.204,0.521762
5.960,290.416,0.597353
5.970,289.781,0.557455
5.980,289.242,0.605897
5.990,290.761,0.548225
6.000,291.822,0.505564
6.010,291.619,0.587319
6.020,292.526,0.578702
6.030,292.415,0.628578
6.040,292.980,0.628435
6.050,293.008,0.638996
6.060,293.047,0.664107
6.070,292.784,0.637346
6.080,291.604,0.694409
6.090,291.264,0.636705
6.100,291.153,0.651925
6.110,291.719,0.621723
6.120,291.392,0.709250
6.130,291.894,0.704803
6.140,292.505,0.653468
6.150,294.092,0.633758
6.160,294.746,0.694925
6.170,294.257,0.696856
6.180,293.244,0.697762
6.190,292.423,0.737242
6.200,290.648,0.731155
6.210,289.581,0.771986
6.220,289.041,0.806388
6.230,288.866,0.841255
6.240,289.374,0.793086
6.250,288.485,0.822688
6.260,288.922,0.793628
6.270,289.076,0.749163
6.280,289.248,0.736586
6.290,289.974,0.677003
6.300,290.149,0.646118
6.310,291.426,0.611543
6.320,292.510,0.559218
6.330,293.387,0.587872
6.340,294.598,0.618410
6.350,295.703,0.546741
6.360,296.026,0.599757
6.370,296.204,0.668540
6.380,296.675,0.622230
6.390,296.080,0.518875
6.400,295.610,0.605706
6.410,296.508,0.548415
6.420,295.698,0.615398
6.430,295.117,0.636522
6.440,294.446,0.573940
6.450,293.231,0.621715
6.460,294.109,0.522711
6.470,293.865,0.469812
6.480,293.071,0.513991
6.490,292.801,0.560689
6.500,293.440,0.626734
6.510,293.162,0.753900
6.520,292.713,0.769250
6.530,291.601,0.761202
6.540,291.373,0.777284
6.550,292.065,0.756405
6.560,294.002,0.730875
6.570,295.458,0.696203
6.580,295.276,0.601841
6.590,294.681,0.561165
6.600,292.777,0.529561
6.610,291.083,0.511262
6.620,289.472,0.411938
6.630,288.177,0.295115
6.640,291.172,0.357065
6.650,292.482,0.289714
6.660,294.855,0.403555
6.670,295.788,0.311621
6.680,1750.004,0.385277
6.690,1747.094,0.626305
6.700,1743.301,0.696678
6.710,1739.697,0.485110
6.720,1731.456,0.589397
6.730,1722.879,0.498607
6.740,1724.336,0.475931
6.750,1727.456,0.332686
6.760,1742.468,0.389752
6.770,1744.397,0.309001
6.780,146.276,0.271827
6.790,146.920,0.186514
6.800,1892.068,0.246381
6.810,1890.851,0.390603
6.820,1900.050,0.240430
6.830,1939.647,0.174384
6.840,1942.300,0.124560
6.850,146.722,0.163651
6.860,1878.285,0.410168
6.870,1875.783,0.379212
6.880,1873.141,0.434825
6.890,148.091,0.258268
6.900,148.283,0.339824
6.910,147.267,0.348684
6.920,1766.113,0.416105
6.930,1766.747,0.646027
6.940,1766.933,0.666261
6.950,1768.857,0.713019
6.960,1768.173,0.817349
6.970,1764.189,0.855352
6.980,1769.455,0.853621
6.990,1772.898,0.806952
7.000,1784.613,0.755854
7.010,1789.198,0.662104
7.020,1801.094,0.740760
7.030,1800.242,0.726984
7.040,1792.909,0.653578
7.050,1787.422,0.763970
7.060,1778.757,0.792345
7.070,1767.840,0.802115
7.080,1764.710,0.790471
7.090,1762.768,0.791571
7.100,1764.913,0.579048
7.110,1763.930,0.685051
7.120,1764.256,0.639264
7.130,1767.491,0.455933
7.140,1770.640,0.460824
7.150,1772.541,0.493891
7.160,1773.352,0.454434
7.170,1773.031,0.441407
7.180,1765.736,0.519717
7.190,1762.015,0.581147
7.200,1761.226,0.641861
7.210,1758.814,0.594118
7.220,1760.213,0.611299
7.230,1761.760,0.592704
7.240,1762.928,0.592572
7.250,1762.896,0.487746
7.260,1762.317,0.367622
7.270,1760.671,0.556722
7.280,1759.352,0.604333
7.290,1763.735,0.709707
7.300,1768.235,0.661391
7.310,1773.509,0.492374
7.320,1781.115,0.369819
7.330,1780.533,0.510750
7.340,1782.082,0.651850
7.350,1788.887,0.659627
7.360,1795.230,0.661121
7.370,1795.805,0.698879
7.380,1795.129,0.700260
7.390,1789.096,0.711165
7.400,1787.988,0.738003
7.410,1780.817,0.756849
7.420,1770.819,0.811027
7.430,1761.336,0.846706
7.440,1758.355,0.829665
7.450,1759.016,0.800589
7.460,1760.472,0.812230
7.470,1760.445,0.742580
7.480,1763.119,0.799815
7.490,1763.151,0.833012
7.500,1768.158,0.780221
7.510,1774.032,0.679758
7.520,1784.173,0.700415
7.530,1786.668,0.702657
7.540,1791.797,0.602852
7.550,1793.887,0.616567
7.560,1791.763,0.670476
7.570,1786.181,0.706213
7.580,1775.814,0.798300
7.590,1763.481,0.836512
7.600,1760.249,0.822230
7.610,1758.559,0.839694
7.620,1757.141,0.820962
7.630,1758.032,0.798645
7.640,1757.870,0.781128
7.650,1755.409,0.816442
7.660,1762.794,0.825714
7.670,1768.616,0.559117
7.680,1772.940,0.375604
7.690,1773.946,0.661149
7.700,1772.101,0.769139
7.710,1777.403,0.618042
7.720,1784.080,0.555825
7.730,1784.350,0.547796
7.740,1783.642,0.501159
7.750,1781.605,0.587358
7.760,1780.070,0.553283
7.770,1769.749,0.678947
7.780,1763.547,0.780155
7.790,1756.810,0.747592
7.800,1751.360,0.763450
7.810,1743.459,0.740039
7.820,1748.330,0.678337
7.830,1749.995,0.685017
7.840,1756.152,0.697072
7.850,1763.465,0.711119
