time,frequency,confidence
2.470,92.876,0.668852
2.480,92.545,0.833078
2.490,92.605,0.849372
2.500,92.713,0.785235
2.510,92.860,0.738464
2.520,92.924,0.858698
2.530,92.713,0.911925
2.540,92.619,0.912301
2.550,92.580,0.920911
2.560,92.511,0.907117
2.570,92.683,0.919888
2.580,92.727,0.696390
2.590,134.307,0.238581
2.600,267.164,0.111455
2.610,510.583,0.110474
2.620,503.524,0.134117
2.630,502.284,0.385181
2.640,505.129,0.435018
2.650,516.687,0.277413
2.660,524.417,0.546641
2.670,525.447,0.756293
2.680,522.887,0.904538
2.690,523.220,0.919433
2.700,523.918,0.877839
2.710,524.657,0.864289
2.720,525.180,0.829164
2.730,525.352,0.760580
2.740,528.721,0.435153
2.750,269.511,0.341437
2.760,278.649,0.233772
2.770,138.373,0.308595
2.780,138.979,0.524100
2.790,138.994,0.577179
2.800,139.298,0.656614
2.810,139.197,0.515706
2.820,138.714,0.611851
2.830,138.319,0.652374
2.840,138.393,0.854729
2.850,138.591,0.918881
2.860,138.479,0.905884
2.870,138.419,0.922307
2.880,138.480,0.927867
2.890,138.426,0.917954
2.900,139.618,0.789684
2.910,141.602,0.604990
2.920,141.940,0.084293
2.930,655.924,0.031857
2.940,655.197,0.222362
2.950,659.964,0.522572
2.960,660.273,0.554362
2.970,185.363,0.366988
2.980,184.761,0.347742
2.990,92.314,0.656834
3.000,92.466,0.902976
3.010,92.646,0.913497
3.020,92.748,0.921016
3.030,92.547,0.922501
3.040,92.530,0.915645
3.050,93.084,0.841999
3.060,287.122,0.249019
3.070,302.437,0.227517
3.080,310.241,0.373434
3.090,312.129,0.341091
3.100,157.980,0.245477
3.110,157.139,0.472343
3.120,156.398,0.518569
3.130,156.151,0.421800
3.140,555.351,0.519731
3.150,555.510,0.667259
3.160,555.163,0.680100
3.170,554.987,0.537239
3.180,553.826,0.623448
3.190,553.886,0.646781
3.200,551.531,0.503922
3.210,156.062,0.356677
3.220,157.234,0.698529
3.230,163.043,0.465144
3.240,164.994,0.472794
3.250,166.269,0.467907
3.260,515.743,0.308503
3.270,523.894,0.549401
3.280,167.481,0.284058
3.290,166.122,0.628233
3.300,165.399,0.831403
3.310,165.083,0.940903
3.320,165.054,0.965911
3.330,165.195,0.971541
3.340,165.223,0.970683
3.350,165.097,0.971240
3.360,165.086,0.969451
3.370,164.544,0.748632
3.380,165.975,0.375335
3.390,167.764,0.276722
3.400,170.508,0.242652
3.410,168.311,0.286372
3.420,164.490,0.291992
3.430,163.622,0.692857
3.440,165.179,0.505753
3.450,165.954,0.257346
3.460,83.749,0.099105
3.470,83.573,0.645147
3.480,82.675,0.912076
3.490,82.659,0.932829
3.500,82.881,0.930904
3.510,82.798,0.943717
3.520,82.730,0.951830
3.530,248.626,0.194287
3.540,160.035,0.361054
3.550,156.787,0.119206
3.560,343.299,0.085274
3.570,328.520,0.300653
3.580,329.771,0.766129
3.590,330.340,0.917642
3.600,330.446,0.943625
3.610,330.576,0.946325
3.620,330.901,0.954330
3.630,330.807,0.950462
3.640,330.516,0.946273
3.650,330.272,0.951926
3.660,329.876,0.952329
3.670,329.424,0.910762
3.680,329.277,0.819446
3.690,338.013,0.398849
3.700,360.584,0.553233
3.710,354.502,0.293539
3.720,355.406,0.458936
3.730,363.231,0.587302
3.740,368.530,0.634388
3.750,371.780,0.788969
3.760,371.455,0.502687
3.770,73.346,0.332015
3.780,73.463,0.647906
3.790,73.891,0.886513
3.800,73.775,0.935454
3.810,73.591,0.934540
3.820,73.514,0.938949
3.830,73.549,0.937975
3.840,73.884,0.453341
3.850,375.912,0.284715
3.860,370.938,0.350024
3.870,175.370,0.129337
3.880,35.402,0.240614
3.890,369.516,0.640689
3.900,369.918,0.740929
3.910,369.137,0.761460
3.920,366.740,0.648827
3.930,367.731,0.309325
3.940,73.896,0.458281
3.950,73.855,0.912206
3.960,73.626,0.934271
3.970,73.606,0.940674
3.980,73.458,0.936329
3.990,73.586,0.948557
4.000,74.005,0.568309
4.010,148.885,0.413672
4.020,150.155,0.200950
4.030,32.612,0.296405
4.040,32.634,0.321935
4.050,441.385,0.456159
4.060,147.421,0.630962
4.070,440.649,0.564332
4.080,147.540,0.736410
4.090,147.547,0.719661
4.100,147.596,0.819073
4.110,147.440,0.805497
4.120,147.374,0.793678
4.130,439.498,0.771902
4.140,147.189,0.710977
4.150,439.339,0.727976
4.160,438.294,0.562901
4.170,464.942,0.203370
4.180,487.301,0.158559
4.190,491.591,0.198014
4.200,493.311,0.479867
4.210,495.072,0.722412
4.220,496.547,0.800168
4.230,496.341,0.859260
4.240,496.882,0.874888
4.250,496.840,0.864866
4.260,496.407,0.713765
4.270,496.893,0.279216
4.280,73.326,0.559853
4.290,73.425,0.840313
4.300,73.458,0.934012
4.310,73.477,0.940714
4.320,184.211,0.160198
4.330,139.075,0.403967
4.340,138.458,0.554161
4.350,138.509,0.746293
4.360,138.978,0.823747
4.370,138.833,0.892023
4.380,138.528,0.914736
4.390,138.548,0.914338
4.400,138.449,0.911737
4.410,138.424,0.904261
4.420,138.442,0.911326
4.430,138.579,0.919331
4.440,138.589,0.928413
4.450,138.669,0.892161
4.460,138.458,0.842687
4.470,137.858,0.811297
4.480,139.385,0.728539
4.490,142.814,0.640481
4.500,145.273,0.791503
4.510,146.318,0.909774
4.520,146.889,0.935241
4.530,146.966,0.944529
4.540,147.106,0.935624
4.550,147.117,0.902168
4.560,147.262,0.929114
4.570,147.266,0.937779
4.580,147.176,0.965436
4.590,147.291,0.967513
4.600,147.231,0.966487
4.610,147.240,0.966725
4.620,147.242,0.967126
4.630,147.228,0.939745
4.640,146.498,0.734253
4.650,291.841,0.310818
4.660,292.008,0.475451
4.670,297.060,0.230408
4.680,103.961,0.350504
4.690,104.078,0.669111
4.700,104.467,0.712909
4.710,104.284,0.707725
4.720,104.103,0.802803
4.730,104.331,0.810225
4.740,104.361,0.798968
4.750,104.239,0.796980
4.760,104.220,0.789309
4.770,104.323,0.712514
4.780,104.428,0.639738
4.790,104.332,0.588896
4.800,212.809,0.467612
4.810,217.448,0.438160
4.820,220.514,0.595425
4.830,221.585,0.618626
4.840,110.212,0.544992
4.850,110.027,0.564529
4.860,110.268,0.519961
4.870,110.779,0.627702
4.880,110.730,0.711434
4.890,110.508,0.792038
4.900,110.347,0.877798
4.910,110.415,0.864620
4.920,110.418,0.863786
4.930,110.591,0.859126
4.940,110.516,0.846041
4.950,112.248,0.479481
4.960,121.209,0.232416
4.970,129.247,0.089325
4.980,135.145,0.149385
4.990,138.774,0.324425
5.000,138.662,0.417093
5.010,493.895,0.549754
5.020,495.211,0.362745
5.030,139.730,0.159155
