time,frequency,confidence
2.460,215.607,0.133391
2.470,155.757,0.091179
2.480,157.166,0.196980
2.490,157.144,0.221430
2.500,156.588,0.284184
2.510,229.280,0.082558
2.520,44.866,0.182016
2.530,45.121,0.287505
2.540,45.119,0.198980
2.550,36.126,0.048514
2.560,36.640,0.120479
2.570,36.760,0.348638
2.580,337.555,0.143479
2.590,321.347,0.240390
2.600,318.199,0.328511
2.610,264.488,0.367096
2.620,38.182,0.083480
2.630,32.778,0.126504
2.640,38.488,0.061371
2.650,183.966,0.143886
2.660,32.579,0.081642
2.670,32.589,0.059273
2.680,32.477,0.227125
2.690,350.789,0.119080
2.700,315.221,0.081082
2.710,316.225,0.133667
2.720,223.545,0.092459
2.730,43.967,0.155573
2.740,222.592,0.167392
2.750,196.985,0.465162
2.760,198.006,0.430123
2.770,196.264,0.410743
2.780,98.360,0.203454
2.790,195.647,0.107182
2.800,38.062,0.201281
2.810,1202.441,0.192001
2.820,1192.912,0.512686
2.830,1195.645,0.559631
2.840,1198.740,0.637726
2.850,1210.922,0.765999
2.860,1211.436,0.797724
2.870,1209.908,0.778534
2.880,1216.504,0.765045
2.890,1219.701,0.739347
2.900,1224.671,0.813126
2.910,1234.636,0.849875
2.920,1247.319,0.743355
2.930,1266.506,0.682525
2.940,1297.207,0.723869
2.950,1313.089,0.748504
2.960,1332.843,0.554747
2.970,1417.805,0.751237
2.980,1424.756,0.877380
2.990,1429.392,0.830885
3.000,1431.051,0.713247
3.010,1437.800,0.657287
3.020,1440.346,0.659625
3.030,1442.882,0.697863
3.040,1446.086,0.721541
3.050,1441.791,0.822129
3.060,1441.907,0.818126
3.070,1444.748,0.825504
3.080,1442.972,0.808831
3.090,1445.472,0.743423
3.100,1457.253,0.798309
3.110,1458.338,0.803629
3.120,1451.034,0.792676
3.130,1445.123,0.813568
3.140,1434.491,0.769007
3.150,1413.816,0.739505
3.160,1398.644,0.804630
3.170,1384.307,0.534319
3.180,1329.663,0.340555
3.190,1303.652,0.384043
3.200,1312.840,0.412597
3.210,1322.301,0.137154
3.220,42.515,0.068389
3.230,1446.798,0.153727
3.240,1439.068,0.221235
3.250,32.182,0.077097
3.260,38.446,0.365634
3.270,38.203,0.384420
3.280,227.775,0.073362
3.290,220.321,0.526314
3.300,223.952,0.213494
3.310,227.679,0.245876
3.320,113.849,0.093765
3.330,113.465,0.064223
3.340,123.180,0.064975
3.350,42.462,0.340520
3.360,42.808,0.191776
3.370,1113.169,0.233164
3.380,1106.310,0.437702
3.390,1112.672,0.408941
3.400,1126.252,0.373267
3.410,1138.580,0.232668
3.420,303.972,0.179706
3.430,306.249,0.141388
3.440,103.487,0.157779
3.450,1317.572,0.686506
3.460,1317.316,0.781321
3.470,1315.760,0.443458
3.480,1313.125,0.214315
3.490,1311.026,0.058784
3.500,1322.435,0.028063
3.510,35.235,0.036158
3.520,34.208,0.133144
3.530,38.536,0.207089
3.540,38.891,0.318933
3.550,272.580,0.144818
3.560,259.853,0.132960
3.570,306.487,0.083379
3.580,317.710,0.261248
3.590,313.953,0.352732
3.600,316.356,0.397774
3.610,314.092,0.214884
3.620,312.264,0.398871
3.630,309.056,0.429005
3.640,309.852,0.203155
3.650,1133.629,0.106609
3.660,286.595,0.239039
3.670,283.971,0.524316
3.680,281.752,0.381795
3.690,280.109,0.480859
3.700,279.899,0.426163
3.710,316.542,0.147977
3.720,321.914,0.127425
3.730,1158.443,0.123742
3.740,1165.809,0.464108
3.750,1186.872,0.534179
3.760,1196.993,0.535797
3.770,1306.106,0.572366
3.780,1301.294,0.638764
3.790,1293.056,0.739058
3.800,1292.812,0.472335
3.810,1312.915,0.284700
3.820,269.559,0.229931
3.830,1217.595,0.155577
3.840,269.471,0.414316
3.850,289.216,0.199217
3.860,286.604,0.206060
3.870,282.024,0.387766
3.880,279.883,0.559729
3.890,280.572,0.704270
3.900,274.514,0.292505
3.910,274.504,0.162257
3.920,261.577,0.113158
3.930,206.960,0.157166
3.940,204.951,0.139824
3.950,200.503,0.171273
3.960,204.061,0.121261
3.970,1214.543,0.036633
3.980,1159.480,0.240250
3.990,1154.739,0.396402
4.000,1155.572,0.534226
4.010,1160.432,0.503029
4.020,1154.148,0.580090
4.030,1156.889,0.757009
4.040,1165.511,0.793475
4.050,1182.699,0.520243
4.060,1228.720,0.494166
4.070,268.722,0.357995
4.080,1311.083,0.464568
4.090,1295.176,0.553573
4.100,1280.295,0.751419
4.110,1273.557,0.595618
4.120,1230.592,0.541640
4.130,1199.985,0.453783
4.140,1190.558,0.410871
4.150,1184.222,0.114703
4.160,1218.952,0.191366
4.170,268.251,0.243151
4.180,1291.465,0.164406
4.190,1298.594,0.108733
4.200,318.943,0.162850
4.210,318.978,0.256172
4.220,35.660,0.195633
4.230,32.463,0.112831
4.240,1147.134,0.058205
4.250,278.285,0.168906
4.260,1232.902,0.078924
4.270,1230.615,0.131821
4.280,1145.021,0.201376
4.290,1148.919,0.694617
4.300,1152.011,0.764239
4.310,1155.274,0.766351
4.320,1158.604,0.819801
4.330,1163.274,0.827608
4.340,1169.341,0.817916
4.350,1170.745,0.732208
4.360,1176.193,0.471750
4.370,1218.619,0.452740
4.380,1309.580,0.479624
4.390,1314.200,0.789727
4.400,1297.858,0.778084
4.410,1281.867,0.712982
4.420,1257.492,0.611882
4.430,1237.860,0.622361
4.440,1216.695,0.272787
4.450,1216.333,0.093655
4.460,37.777,0.127690
4.470,1251.044,0.036062
4.480,63.697,0.107469
4.490,33.264,0.101780
4.500,33.385,0.165370
4.510,437.510,0.113837
4.520,217.344,0.109729
4.530,36.301,0.245921
4.540,36.681,0.087038
4.550,372.968,0.235770
4.560,374.882,0.113428
4.570,53.969,0.154998
4.580,54.443,0.630240
4.590,54.396,0.445289
4.600,53.024,0.521754
4.610,53.686,0.066421
4.620,1155.946,0.354813
4.630,1163.846,0.718794
4.640,1167.721,0.855332
4.650,1168.804,0.878618
4.660,1169.262,0.837414
4.670,1170.070,0.801572
4.680,1175.378,0.826200
4.690,1176.935,0.410226
4.700,274.151,0.072763
4.710,1118.370,0.247399
4.720,1109.225,0.298475
4.730,1095.528,0.236389
4.740,1057.827,0.267861
4.750,1042.645,0.179016
4.760,1035.796,0.094446
4.770,1027.352,0.028542
4.780,32.985,0.062687
4.790,253.255,0.075724
4.800,250.092,0.043876
4.810,1170.890,0.064042
4.820,281.156,0.129269
4.830,278.445,0.283130
4.840,45.609,0.160126
4.850,45.612,0.345877
4.860,45.664,0.364444
4.870,51.600,0.068222
4.880,51.328,0.156156
