time,frequency,confidence
2.450,246.449,0.847058
2.460,246.408,0.841595
2.470,246.567,0.825109
2.480,246.491,0.811329
2.490,246.613,0.813824
2.500,246.014,0.866560
2.510,245.682,0.891992
2.520,245.359,0.885714
2.530,245.379,0.872420
2.540,245.823,0.862267
2.550,246.448,0.672817
2.560,245.853,0.485030
2.570,245.629,0.314039
2.580,245.495,0.320457
2.590,248.606,0.326772
2.600,250.142,0.626819
2.610,248.865,0.681991
2.620,247.443,0.765401
2.630,246.897,0.872588
2.640,246.880,0.912345
2.650,246.433,0.895946
2.660,246.392,0.862023
2.670,246.392,0.832182
2.680,246.812,0.724211
2.690,123.489,0.567279
2.700,123.452,0.677072
2.710,123.360,0.751622
2.720,123.308,0.658052
2.730,123.176,0.786470
2.740,123.432,0.769517
2.750,123.454,0.770445
2.760,123.682,0.699657
2.770,123.626,0.708834
2.780,123.727,0.690807
2.790,123.540,0.651704
2.800,123.327,0.571274
2.810,247.235,0.606748
2.820,247.352,0.681747
2.830,247.638,0.594106
2.840,248.038,0.697082
2.850,247.902,0.846535
2.860,247.547,0.868597
2.870,247.257,0.851459
2.880,246.900,0.864144
2.890,247.798,0.804973
2.900,247.363,0.616079
2.910,293.419,0.484683
2.920,294.349,0.599714
2.930,295.064,0.687648
2.940,295.163,0.407073
2.950,295.060,0.326351
2.960,658.898,0.268542
2.970,250.665,0.143728
2.980,248.341,0.152005
2.990,247.427,0.673510
3.000,247.041,0.805585
3.010,246.824,0.849896
3.020,247.565,0.879560
3.030,248.143,0.899364
3.040,247.905,0.875038
3.050,247.729,0.867777
3.060,247.460,0.858967
3.070,247.318,0.900679
3.080,247.503,0.905341
3.090,246.979,0.894769
3.100,246.082,0.893204
3.110,245.348,0.888067
3.120,245.582,0.841558
3.130,245.840,0.787995
3.140,246.329,0.685478
3.150,246.739,0.537008
3.160,123.649,0.516888
3.170,123.543,0.573860
3.180,123.322,0.754250
3.190,123.215,0.616659
3.200,246.446,0.659945
3.210,246.631,0.752655
3.220,245.836,0.768042
3.230,245.800,0.566777
3.240,244.934,0.375543
3.250,122.693,0.478192
3.260,123.126,0.445851
3.270,246.679,0.571821
3.280,246.395,0.701732
3.290,246.544,0.714988
3.300,246.488,0.717695
3.310,246.759,0.691858
3.320,246.540,0.778869
3.330,246.527,0.796580
3.340,246.529,0.829124
3.350,246.305,0.846944
3.360,246.175,0.844460
3.370,246.296,0.806213
3.380,247.441,0.845050
3.390,248.254,0.859658
3.400,248.268,0.867269
3.410,247.959,0.852539
3.420,247.911,0.823943
3.430,247.726,0.838695
3.440,247.811,0.843036
3.450,247.631,0.873467
3.460,247.172,0.834836
3.470,246.962,0.635597
3.480,247.073,0.400217
3.490,123.992,0.460389
3.500,62.021,0.612823
3.510,61.974,0.573156
3.520,123.263,0.454289
3.530,123.818,0.628735
3.540,124.204,0.625829
3.550,124.151,0.508567
3.560,248.770,0.574336
3.570,248.056,0.704126
3.580,247.593,0.722669
3.590,247.360,0.791386
3.600,247.392,0.812754
3.610,247.472,0.875570
3.620,247.609,0.886750
3.630,247.867,0.873416
3.640,247.704,0.827150
3.650,247.921,0.775964
3.660,247.986,0.738792
3.670,248.026,0.789236
3.680,247.333,0.812603
3.690,246.661,0.761288
3.700,246.577,0.731559
3.710,247.256,0.718667
3.720,247.898,0.748690
3.730,247.427,0.724553
3.740,247.243,0.635140
3.750,246.949,0.596444
3.760,246.716,0.570147
3.770,246.785,0.598650
3.780,246.399,0.778986
3.790,246.007,0.813997
3.800,245.900,0.788626
3.810,246.271,0.637921
3.820,246.613,0.539743
3.830,329.186,0.254374
3.840,247.270,0.347238
3.850,247.306,0.399444
3.860,247.211,0.528837
3.870,247.930,0.590308
3.880,330.217,0.494469
3.890,330.142,0.699258
3.900,330.454,0.759836
3.910,330.678,0.741082
3.920,330.555,0.723816
3.930,330.487,0.673237
3.940,330.958,0.601461
3.950,330.510,0.672688
3.960,329.675,0.763662
3.970,328.951,0.773354
3.980,329.683,0.771901
3.990,330.144,0.759129
4.000,330.402,0.673242
4.010,330.215,0.684217
4.020,330.242,0.742016
4.030,330.594,0.793809
4.040,330.787,0.714532
4.050,330.755,0.597953
4.060,248.408,0.489489
4.070,248.174,0.652608
4.080,248.011,0.759558
4.090,247.939,0.750641
4.100,247.489,0.820597
4.110,247.646,0.857086
4.120,247.873,0.883505
4.130,248.302,0.848751
4.140,247.797,0.837139
4.150,247.009,0.786597
4.160,246.827,0.774954
4.170,247.084,0.716981
4.180,247.587,0.716233
4.190,248.177,0.685438
4.200,248.798,0.707226
4.210,248.713,0.701377
4.220,249.147,0.670085
4.230,249.016,0.620992
4.240,248.640,0.728990
